Journal,Title,Authors,Author_Information,Abstract,
"68. Rural Remote Health. 2022 Mar;22(1):7082. doi: 10.22605/RRH7082. Epub 2022
Mar  21.","Determinants of socioeconomic and rural-urban disparities in stunting: evidence 
from Indonesia.","Widyaningsih V(1), Mulyaningsih T(2), Rahmawati FN(3), Adhitya D(4).","Author information:
(1)Public Health and Preventive Medicine, Faculty of Medicine, Universitas 
Sebelas Maret, Indonesia vitri_w@staff.uns.ac.id.
(2)Department of Economics, Faculty of Economics and Business, Universitas 
Sebelas Maret, Indonesia trimulyaningsih@staff.uns.ac.id.
(3)Department of Economics, Faculty of Economics and Business, Universitas 
Muhammadiyah Surakarta, Indonesia fitrie.rahma@gmail.com.
(4)Department of Economics, Faculty of Economics and Business, Universitas 
Kristen Satya Wacana, Indonesia dhian.adhitya@uksw.edu.","INTRODUCTION: Stunting continues to be a prominent health problem in Indonesia. 
Stunting prevalence is higher in children from poor families or living in rural 
areas; however, there has been a lack of information on predictors of stunting 
disparities and stunting risk factors by socioeconomic status (SES) and location 
of residence (rural or urban). This study aims to examine the factors associated 
with stunting by SES and rural-urban status, and to assess determinants of 
stunting disparities by SES and rural-urban status in Indonesia.
METHODS: This study analysed data from the Indonesian Family and Life Survey 
(IFLS) wave 5, conducted in 2014. Data for 3887 children aged 0-59 months, 
including individual, family and community variables, were analysed. Stratified 
logistic regression was conducted to assess differences in determinants of 
stunting by household expenditure (poor or non-poor, representing SES) and 
rural-urban status. The Oaxaca-Blinder decomposition method was used to assess 
determinants of stunting disparities by household expenditure and rural-urban 
status.
RESULTS: The analyses showed differences in factors associated with stunting 
among children in rural versus urban areas, or children in poor versus non-poor 
households. Mother's short stature and low education level increased the odds of 
stunting across all groups. However, in children of families with a higher 
household expenditure, unhealthy snacks were a significant predictor of stunting 
(adjusted odds ratio (aOR) 1.23, 95% confidence interval (CI) 1.04-1.47). This 
finding was not found in other groups. Good sanitation significantly reduced 
stunting in children in families with higher household expenditure and children 
from urban communities. Nutrition services were significantly associated with 
stunting in poor children and children from urban areas. The decomposition 
analyses showed that differences in characteristics explained 55.35% stunting 
disparity by household expenditure. Meanwhile, rural-urban disparity was mostly 
explained by differences in responses (56.20%), with low birth weight and 
unexplained variables as predominant contributors.
CONCLUSION: There were slight differences in stunting determinants by household 
expenditure and rural-urban status in Indonesia. Stunting disparities were 
attributed to differences in characteristics and responses between the less and 
more advantaged populations. To improve the effectiveness of stunting reduction 
programs, specific interventions tailored to address the differences between the 
more and less advantaged population are needed.",
"69. PLoS One. 2022 Mar 2;17(3):e0264010. doi: 10.1371/journal.pone.0264010. 
eCollection 2022.","Are early childhood stunting and catch-up growth associated with school age 
cognition?-Evidence from an Indian birth cohort.","Koshy B(1), Srinivasan M(2), Gopalakrishnan S(1), Mohan VR(3), Scharf R(4), 
Murray-Kolb L(5), John S(6), Beulah R(1), Muliyil J(2), Kang G(2).","Author information:
(1)Developmental Paediatrics Unit, Christian Medical College, Vellore, India.
(2)Wellcome research Unit, Christian Medical College, Vellore, India.
(3)Community Health, Christian Medical College, Vellore, India.
(4)University of Virginia Children's Hospital, Charlottesville, Virginia, United 
States of America.
(5)The Pennsylvania State University, State College, Pennsylvania, United States 
of America.
(6)Low Cost Effective Care Unit, Christian Medical College, Vellore, India.","BACKGROUND: Millions of children worldwide especially in the Asian subcontinent 
are vulnerable to early childhood stunting. There are contradictory reports of 
the association between catch-up growth in childhood and school age cognition.
METHODS: A community-based birth cohort recruited between 2010 and 2012 from 
urban slums in Vellore, India was followed up until 9 years of age. From regular 
anthropometric measurements, stunting status for each individual child was 
calculated at 2, 5 and 9 years. Cognition was assessed at 9 years of age using 
the Malin's Intelligence Scale for Indian Children (MISIC). Children were 
divided into groups based on stunting at each time point as well as catch-up 
growth, and a regression model was utilised to evaluate their association with 
cognition at 9 years.
RESULTS: Among 203 children included in this analysis, 94/203 (46.31%) children 
were stunted at 2 years of age, of whom 39.36% had a catch-up growth at 5 years 
of age, and 38.30% at 9 years. Around 10% of the cohort remained stunted at all 
time points. In the multivariable analysis, children who were stunted at 2, 5 
and 9 years had a significantly lower verbal and total intelligence quotient 
(IQ) scores by 4.6 points compared to those who were never stunted. Children 
with catch up growth following stunting at 2 years had higher cognition scores 
than those who were persistently stunted throughout the childhood.
CONCLUSIONS: This study showed persistent stunting in childhood was associated 
with lowering of 4-5 IQ points in childhood cognition at 9 years of age. 
Recovery from early life stunting in children with catch up growth prevented 
further lowering of cognition scores in these children compared to persistently 
stunted children. Nutritional supplementation during late infancy and early 
toddlerhood in addition to continuing nutritional supplementation programmes for 
preschool and school children can improve childhood stunting and cognitive 
abilities in vulnerable populations.",
70. BMC Public Health. 2022 Feb 11;22(1):285. doi: 10.1186/s12889-022-12690-3.,"Joint modelling of anaemia and stunting in children less than five years of age 
in Lesotho: a cross-sectional case study.","Gaston RT(1)(2), Habyarimana F(3), Ramroop S(3).","Author information:
(1)School of Mathematics, Statistics and Computer Sciences, University of 
KwaZulu-Natal, Private Bag X01, Pietermaritzburg CampusScottsville, 3209, South 
Africa. rugiratony@gmail.com.
(2)Health Economics and HIV/AIDS Research Division (HEARD), University of 
KwaZulu-Natal, Westville Campus, Private Bag X01, Westville, 3629, South Africa. 
rugiratony@gmail.com.
(3)School of Mathematics, Statistics and Computer Sciences, University of 
KwaZulu-Natal, Private Bag X01, Pietermaritzburg CampusScottsville, 3209, South 
Africa.","BACKGROUND: Anaemia and stunting remain jointly a serious health issue worldwide 
especially in developing countries. In Lesotho, their prevalence is high, 
particularly among children less than 5 years of age.
OBJECTIVES: The primary objective was to determine the association between 
anaemia and stunting, and identify factors relating to both conditions among 
children younger than 5 years in Lesotho.
METHODS: This cross-sectional study used secondary data from 3112 children 
collected during the 2014 Lesotho Demographic Health Survey (LDHS). Haemoglobin 
(Hb) levels were adjusted for altitude and a level less than 11 g per deciliters 
(11 g/dl) was determined as the cutoff for being anaemic. A child with the 
height-for-age z score (HAZ) below minus two standard deviations (SD) was 
considered to have stunting. We linked factors relating to anaemia and stunting 
using a multivariate joint model under the scope of the generalized linear mixed 
model (GLMM).
RESULTS: The prevalence of anaemia and stunting in children younger than 5 years 
were 51% and 43% respectively. The multivariate results revealed a strong 
association between anaemia and stunting. In addition, maternal education, urban 
vs. rural residence, wealth index and childbirth weight significantly impacted 
childhood stunting or malnutrition, while having fever and/or diarrhoea was 
linked to anaemia. Lastly, age was shown to have a significant effect on both 
stunting and anaemia.
CONCLUSION: Anaemia and stunting or malnutrition showed linked longitudinal 
trajectories, suggesting both conditions could lead to synergetic improvements 
in overall child health. Demographic, socio-economic, and geographical 
characteristics were also important drivers of stunting and anaemia in children 
younger than 5 years. Thus, children living in similar resources settings as 
Lesotho could benefit from coordinated programs designed to address both 
malnutrition and anaemia.",
71. BMC Public Health. 2022 Jan 24;22(1):159. doi: 10.1186/s12889-022-12552-y.,"Bayesian geostatistical modelling of stunting in Rwanda: risk factors and 
spatially explicit residual stunting burden.","Uwiringiyimana V(1)(2), Osei F(1), Amer S(3), Veldkamp A(1).","Author information:
(1)Faculty of Geo-Information Science and Earth Observation (ITC), University of 
Twente, P.O. Box 217, 7500 AE, Enschede, The Netherlands.
(2)Department of Food Science and Technology, College of Agriculture Animal 
Science and Veterinary Medicine, University of Rwanda, PO Box 3900, Kigali, 
Rwanda.
(3)Faculty of Geo-Information Science and Earth Observation (ITC), University of 
Twente, P.O. Box 217, 7500 AE, Enschede, The Netherlands. s.amer@utwente.nl.","BACKGROUND: Stunting remains a significant public health issue in Rwanda and its 
prevalence exhibits considerable geographical variation. We apply Bayesian 
geostatistical modelling to study the spatial pattern of stunting in children 
less than five years considering anthropometric, socioeconomic and demographic 
risk factors in Rwanda. In addition, we predict the spatial residuals effects to 
quantify the burden of stunting not accounted for by our geostatistical model.
METHODS: We used the data from the 2015 Rwanda Demographic and Health Survey. We 
fitted two spatial logistic models with similar structures, only differentiated 
by the inclusion or exclusion of spatially structured random effects.
RESULTS: The risk factors of stunting identified in the geostatistical model 
were being male (OR = 1.32, 95% CI: 1.16, 1.47), lower birthweight (kg) 
(OR = 0.96, 95% CI: 0.95, 0.97), non-exclusive breastfeeding (OR = 1.24, 95% CI: 
1.04, 1.45), occurrence of diarrhoea in the last two weeks (OR = 1.18, 95% CI: 
1.02, 1.37), a lower proportion of mothers with overweight (BMI ≥ 25) 
(OR = 0.82, 95% CI: 0.71, 0.95), a higher proportion of mothers with no or only 
primary education (OR = 1.14, 95% CI: 0.99, 1.36). Also, a higher probability of 
living in a house with poor flooring material (OR = 1.22, 95% CI: 1.06, 1.41), 
reliance on a non-improved water source (OR = 1.13, 95% CI: 1.00, 1.27), and a 
low wealth index were identified as risk factors of stunting. Mapping of the 
spatial residuals effects showed that, in particular, the Northern and Western 
regions, followed by the Southern region of Rwanda, still exhibit a higher risk 
of stunting even after accounting for all the covariates in the spatial model.
CONCLUSIONS: Further studies are needed to identify the still unknown spatially 
explicit factors associated with higher risk of stunting. Finally, given the 
spatial heterogeneity of stunting, interventions to reduce stunting should be 
geographically targeted.",
72. Int Health. 2022 Nov 1;14(6):639-647. doi: 10.1093/inthealth/ihab090.,"Exposure to household air pollution from solid cookfuels and childhood stunting: 
a population-based, cross-sectional study of half a million children in low- and 
middle-income countries.","Caleyachetty R(1)(2), Lufumpa N(3), Kumar N(4), Mohammed NI(5), Bekele H(6), 
Kurmi O(7)(8), Wells J(9), Manaseki-Holland S(3).","Author information:
(1)Nuffi eld Department of Medicine, University of Oxford, Oxford, OX3 7BN, UK.
(2)Warwick Medical School, University of Warwick, Coventry, CV4 7HL, UK.
(3)Institute of Applied Health Research, University of Birmingham, Birmingham, 
B15 2TT, UK.
(4)University College London Medical School, University College London, London, 
WC1E 6DE, UK.
(5)Medical Research Council Unit The Gambia at the London School of Hygiene 
&amp; Tropical Medicine, Atlantic Boulevard, Fajara, P.O. Box 273, Banjul, The 
Gambia.
(6)World Health Organization, Inter-Country Support Team, Zimbabwe WHO Country 
Office, Harare, Zimbabwe.
(7)Faculty of Health and Life Sciences, Coventry University, Coventry, CV1 5FB, 
UK.
(8)Department of Medicine, McMaster University, Hamilton, ON, L8S 4L8, Canada.
(9)Childhood Nutrition Research Centre, Population Policy and Practice Research 
and Teaching Department, UCL Great Ormond Street Institute of Child Health, 
London, WC1N 1EH, UK.","BACKGROUND: Household air pollution from the incomplete combustion of solid 
cookfuels in low- and middle-income countries (LMICs) has been largely ignored 
as a potentially important correlate of stunting. Our objective was to examine 
the association between solid cookfuel use and stunting in children aged &lt;5 
y.
METHODS: We used data from 59 LMICs' population-based cross-sectional 
demographic and health surveys; 557 098 children aged &lt;5 y were included in 
our analytical sample. Multilevel logistic regression was used to examine the 
association between exposure to solid cookfuel use and childhood stunting, 
adjusting for child sex, age, maternal education and number of children living 
in the household. We explored the association across key subgroups.
RESULTS: Solid cookfuel use was associated with child stunting (adjusted OR 
1.58, 95% CI 1.55 to 1.61). Children living in households using solid cookfuels 
were more likely to be stunted if they lived in rural areas, the poorest 
households, had a mother who smoked tobacco or were from the Americas.
CONCLUSIONS: Focused strategies to reduce solid cookfuel exposure might 
contribute to reductions in childhood stunting in LMICs. Trial evidence to 
assess the effect of reducing solid cookfuel exposure on childhood stunting is 
urgently needed.",
"73. J Glob Health. 2021 Dec 25;11:04070. doi: 10.7189/jogh.11.04070. eCollection 
2021.","The prevalence of stunting among children and adolescents living in the Middle 
East and North Africa region (MENA): A systematic review and meta-analysis.","Joulaei H(1), Keshani P(2), Ashourpour M(3), Bemani P(4), Amiri S(5), Rahimi 
J(6), Aliakbarpour M(1), Salehi-Abargouei A(7).","Author information:
(1)Shiraz HIV/AIDS Research Center, Institute of Health, Shiraz University of 
Medical Sciences, Shiraz, Iran.
(2)Health Policy Research Center, Institute of Health, Shiraz University of 
Medical Sciences, Shiraz, Iran.
(3)Department of Nutrition Sciences, School of Health, Larestan University of 
Medical Sciences, Larestan, Iran.Emam Reza Teaching Hospital, Larestan 
University of Medical Sciences, Larestan, Iran.
(4)Department of Immunology, School of Medicine, Isfahan University of Medical 
Sciences, Isfahan, Iran.
(5)Department of Epidemiology, Health School, Shiraz University of Medical 
Sciences, Shiraz, Iran.
(6)Department of Epidemiology and Biostatistics, School of Public Health, North 
Khorasan University of Medical Sciences, Bojnurd, Iran.
(7)Nutrition and Food Security Research Center, Department of nutrition, School 
of Public Health, Shahid Sadoughi University of Medical Sciences, Yazd, Iran.","BACKGROUND: Given the strategic importance of the MENA, the state of war and 
inequity in the region and its effect on malnutrition which leads to mortality 
and reduced economic development in this region, the current study purposed to 
examine the prevalence of stunting as an indicator of chronic malnutrition in 
the MENA region, with consideration given HDI, rural/urban area, and 
war-involved countries.
METHODS: The electronic databases of PubMed, SCOPUS, Web of science, and Embase 
were systematically searched, and English-language articles published between 
January 1, 2009 and December 31, 2019 were included in this study. The POLIS 
(population, outcome, location, indicator, study design) criteria were used to 
perform the systematic review, and studies involving children 2 to 18 years of 
age were selected.
RESULTS: Fifty-eight (n = 2 202 869) were included based on the study's 
inclusion criteria. The prevalence of stunting in children in the total MENA 
region was 22.0% (95% confidence interval (CI) = 20.4-23.6; I2  = 99.92%, 
P < 0.0001). The studies included in the meta-analysis were analyzed by 
subgroups. The pooled prevalence of stunting in children aged 2-5 years old and 
children aged 6 and older was 25.7% and 16.5%, respectively. The pooled 
prevalence of stunting was 34.1% in rural and 12.4% in urban areas. The pooled 
prevalence of stunting according to HDI was 30.1%, 28.5%, 13.1%, in low, medium, 
and high HDI countries, respectively. Furthermore, the pooled prevalence of 
stunting according to war status was 28.5% in war-involved countries vs 20.6% in 
others.
CONCLUSIONS: High prevalence of malnutrition was seen based on stunting 
indicator in the meta-analysis study in the MENA region, and this issue became 
more pronounced when the data was divided into subgroups based on age, 
residential area, and HDI. Inequality regarding social, economic, and political 
factors leads to significant malnutrition in the mentioned region.",
74. Nutrients. 2021 Nov 29;13(12):4312. doi: 10.3390/nu13124312.,"Trends of Stunting Prevalence and Its Associated Factors among Nigerian Children 
Aged 0-59 Months Residing in the Northern Nigeria, 2008-2018.","Ezeh OK(1), Abir T(1)(2), Zainol NR(3), Al Mamun A(4), Milton AH(5), Haque 
MR(6), Agho KE(1)(7).","Author information:
(1)School of Health Sciences, Western Sydney University, Locked Bag 1797, 
Penrith, NSW 2750, Australia.
(2)School of Business, Ahsanullah University of Science and Technology, Dhaka 
1208, Bangladesh.
(3)Faculty of Entrepreneurship and Business, University Malaysia Kelantan, Kota 
Bharu 16100, Malaysia.
(4)Faculty of Business and Management, UCSI University, Kuala Lumpur 56000, 
Malaysia.
(5)Epidemiology Resource Centre, Newcastle, NSW 2290, Australia.
(6)Department of Psychiatry, Sir Salimullah Medical College, Dhaka 1206, 
Bangladesh.
(7)Translational Health Research Institute (THRI), Campbelltown Campus, Western 
Sydney University, Penrith, NSW 2571, Australia.","Every year in Nigeria, malnutrition contributes to more than 33% of the deaths 
of children below 5 years, and these deaths mostly occur in the northern 
geopolitical zones (NGZs), where nearly 50% of all children below 5 years are 
stunted. This study examined the trends in the prevalence of stunting and its 
associated factors among children aged 0-23 months, 24-59 months and 0-59 months 
in the NGZs. The data of 33,682 recent live births in the NGZs, extracted from 
the Nigeria Demographic and Health Surveys from 2008 to 2018, were used to 
investigate the factors associated with stunting using multilevel logistic 
regression. Children aged 24-59 months reported the highest prevalence of 
stunting, with 53.3% (95% confidence interval: 52.0-54.6%). Multivariable 
analyses revealed four common factors that increased the odds of a child's 
stunting across all age subgroups: poor households, geopolitical zone (northwest 
or northeast), being a male and maternal height (<145 cm). Interventional 
strategies focused on poverty mitigation through cash transfer and educating low 
socioeconomic mothers on the benefits of gender-neutral supplementary feeding 
and the timely monitoring of the offspring of short mothers would substantially 
reduce stunting across all age subgroups in the NGZs.",
75. Nutrients. 2021 Nov 26;13(12):4264. doi: 10.3390/nu13124264.,"Exclusive Breastfeeding Protects Young Children from Stunting in a Low-Income 
Population: A Study from Eastern Indonesia.","Hadi H(1)(2), Fatimatasari F(3), Irwanti W(4), Kusuma C(1), Alfiana RD(3), 
Asshiddiqi MIN(5), Nugroho S(1), Lewis EC(6), Gittelsohn J(6).","Author information:
(1)Alma Ata Graduate School of Public Health, the University of Alma Ata, 
Yogyakarta 55183, Indonesia.
(2)Alma Ata Center for Healthy Life and Foods (ACHEAF), the University of Alma 
Ata, Yogyakarta 55183, Indonesia.
(3)Department of Midwifery, Faculty of Health Sciences, the University of Alma 
Ata, Yogyakarta 55183, Indonesia.
(4)Department of Nutrition, Faculty of Health Sciences, The University of Alma 
Ata, Yogyakarta 55183, Indonesia.
(5)Department of Nursing, Faculty of Health Sciences, the University of Alma 
Ata, Yogyakarta 55183, Indonesia.
(6)Center for Human Nutrition, Department of International Health, Johns Hopkins 
Bloomberg School of Public Health, 615 N. Wolfe Street, Baltimore, MD 21205, 
USA.","The prevalence of stunting in young Indonesian children is the highest among 
countries belonging to the Association of Southeast Asian Nations (ASEAN). 
Breastfed children are reported to grow better than non-breastfed. The present 
study examined the protective effect of exclusive breastfeeding against stunting 
in children under two years old (CU2) and its interaction with monthly household 
expenditure. Secondary analyses were conducted based on a 2012 cross-sectional 
study including 408 children aged 6-24 months and their caregivers from 14 
villages in rural Eastern Indonesia. Data on breastfeeding history, childcare, 
and household expenditures were collected using structured questionnaires. Focus 
Group Discussions (FGDs) were conducted in each village (n = 14). Nearly 
two-thirds (61%) of caregivers who identified as the biological mother 
exclusively breastfed their child at 6 months. Exclusively-breastfed CU2 from 
poorer households were 20% less likely to be stunted than their 
non-exclusively-breastfed peers. Further, exclusively-breastfed CU2 from 
wealthier households were 50% less likely to be stunted than 
non-exclusively-breastfed CU2 from poorer households. FGDs revealed that some 
mothers were unaware of the importance of recommended breastfeeding practices. 
Exclusive breastfeeding may protect low-income children against stunting. Health 
promotion to improve caregiver motivation to exclusively breastfeed is critical 
in the present setting and beyond.",
76. Gac Sanit. 2021;35 Suppl 2:S576-S582. doi: 10.1016/j.gaceta.2021.10.087.,Role of Maternal in Preventing Stunting: a Systematic Review.,"Saleh A(1), Syahrul S(2), Hadju V(3), Andriani I(4), Restika I(2).","Author information:
(1)Faculty of Nursing, Hasanuddin University, Makassar, 90245, Indonesia. 
Electronic address: ariyanti.saleh@gmail.com.
(2)Faculty of Nursing, Hasanuddin University, Makassar, 90245, Indonesia.
(3)Faculty of Public Health, Hasanuddin University, Makassar, 90245, Indonesia.
(4)Faculty of Mathematics and Natural Sciences, Hasanuddin University, Makassar, 
90245, Indonesia.","OBJECTIVE: Currently, stunting is seen as a serious public health problem. 
Although its prevalence has decreased, the stunting rate is a large number of 
cases in the world.
METHODS: A literature search was conducted on electronic databases such as 
ProQuest, PubMed, ScienceDirect, and Google Scholar to identify relevant 
published articles from January 1, 2010, to July 1, 2020. Additional articles 
were identified from the reference lists and grey literature.
RESULT: Three main phases require the optimal mother roles to prevent stunting 
in children during the golden phase. These phases include the preconception 
phase, the prenatal phase, and the infant-toddlerhood phase. Various mother 
roles include fulfilling maternal, fetal, infant, and child nutrition, carrying 
out early breastfeeding initiation, exclusive breastfeeding, and appropriate 
complementary feeding, optimizing the environment for child development, 
optimizing family support, and avoiding various psychosocial factors that can be 
detrimental during growth, and child development.
CONCLUSION: The mother roles in the golden phase are crucial to preventing 
stunting in children. Although the conception period does not have a fetus, 
early strengthening of maternal nutrition must be done so that the mother's body 
is ready to undergo the prenatal phase for fetal development, which then 
continues in the infant phase - toddlerhood to adolescence.",
77. Gac Sanit. 2021;35 Suppl 2:S483-S486. doi: 10.1016/j.gaceta.2021.10.077.,"Dietary diversity, dietary patterns and dietary intake are associated with 
stunted children in Jeneponto District, Indonesia.","Basri H(1), Hadju V(2), Zulkifli A(3), Syam A(2), Ansariadi(3), Stang(4), 
Indriasari R(2), Helmiyanti S(5).","Author information:
(1)Doctoral student in Nutrition Science, Faculty of Public Health, Hasanuddin 
University, Makassar, Indonesia. Electronic address: 
hasanbasri.phunhas@gmail.com.
(2)Department of Nutrition Science, Faculty of Public Health, Hasanuddin 
University, Makassar, Indonesia.
(3)Department of Epidemiology, Faculty of Public Health, Hasanuddin University, 
Makassar, Indonesia.
(4)Department of Biostatistics, Faculty of Public Health, Hasanuddin University, 
Makassar, Indonesia.
(5)Department of Nutrition, Faculty of Medicine, Gajah Mada University, 
Yogyakarta, Indonesia.","OBJECTIVE: The most influence of occurrence children stunted are those related 
to food, both in terms of quantity and quality. The aim of this study is seeing 
of the relationship between dietary diversity, dietary pattern and dietary 
intake for children stunted.
METHODS: This study is a follow up of the previous study of nutrition 
interventions in children, where the total sample size children was 340 measured 
the dietary intake with 24-hour recall. The dietary diversity and dietary 
patterns was measured by the FFQ (Food Frequency Questioner) form for children.
RESULTS: The results showed that a lack of energy intake associated with 
children stunted was 132 (44.9%) (p=0.050), and lacked fat intake was 125 
(45.6%) (p<0.050). For the dietary diversity there is a relationship with 
stunted at a mean value of 7.51±0.87 (p<0.050). As for the dietary pattern, 
there is a relationship between insufficient of consumption nuts and stunted 
(p=0.019) and foods containing sugar (p=0.050) also, namely 135 (45.3%) and 103 
(43.8%).
CONCLUSION: Stunting in children is related to the quality and quantity of food.",
78. J Paediatr Child Health. 2021 Nov;57(11):1741-1744. doi: 10.1111/jpc.15758.,One planet one health: What about the kids?,"Walton M(1), Guest D(2), Raynes-Greenow C(3).","Author information:
(1)Department of Medical Education (Patient Safety) Public Health, School of 
Public Health, University of Sydney, Sydney, New South Wales, Australia.
(2)Department of Plant Pathology, Sydney Institute of Agriculture, School of 
Life and Environmental Sciences, University of Sydney, Sydney, New South Wales, 
Australia.
(3)School of Public Health, University of Sydney, Sydney, New South Wales, 
Australia.","Humans in their increasing numbers and wealth are changing ecosystems through 
accelerated consumption of food, natural resources and energy which continue to 
cause significant damage to the planet. Using 'stunting in children' as a case 
study, we show how the traditional siloed (specialist) approaches have failed to 
reduce stunting world-wide. Despite significant effort, traditional approaches 
fail to appreciate the interconnectedness of the multiple factors that underpin 
stunting. We will not improve the lives of the millions of children living in 
poverty by doing the same things we have always done, rather we need to adopt 
approaches that recognise the interconnectedness of all the component parts and 
apply One Health methods designed to solve these intractable problems.",
"79. Matern Child Nutr. 2021 Nov 4:e13280. doi: 10.1111/mcn.13280. Online ahead of
 print.","Progress in Water, Sanitation and Hygiene (WASH) coverage and potential 
contribution to the decline in diarrhea and stunting in Ethiopia.","Girma M(1), Hussein A(1), Norris T(2), Genye T(3), Tessema M(1), Bossuyt A(3), 
Hadis M(4), van Zyl C(3), Goyol K(5), Samuel A(1).","Author information:
(1)National Information Platforms for Nutrition (NIPN), Ethiopian Public Health 
Institute, Arbegnoch Street, Addis Ababa, 1242, Ethiopia.
(2)National Information Platforms for Nutrition (NIPN) Collaborator, 
International Food Policy Research Institute, Addis Ababa, Ethiopia.
(3)National Information Platforms for Nutrition (NIPN), International Food 
Policy Research Institute, Addis Ababa, Ethiopia.
(4)Knowledge Translation Directorate, Ethiopian Public Health Institute, Addis 
Ababa, Ethiopia.
(5)Water, Sanitation and Hygiene (WASH), UNICEF, Addis Ababa, Ethiopia.","Inadequate safe water supply and poor sanitation and hygiene continue to be 
important risk factors for diarrhoea and stunting globally. We used data from 
the four rounds of the Ethiopian Demographic and Health Survey and applied the 
new World Health Organization (WHO)/UNICEF Joint Monitoring Program (JMP) 
service standards to assess progress in water, sanitation and hygiene (WASH) 
coverage between 2000 and 2016. We also performed an age-disaggregated pooled 
linear probability regression analysis followed by a decomposition analysis to 
determine whether changes in WASH practices have contributed to the changing 
prevalence of diarrhoea and stunting in children under 5 years of age. We 
observed a significant increase in the coverage of safe drinking water and 
adequate sanitation facilities over the period. At the national level, the use 
of a basic water source increased from 18% in 2000 to 50% in 2016. Open 
defecation declined from 82% to 32% over the same period. However, in 2016, only 
6% of households had access to a basic sanitation facility, and 40% of 
households had no handwashing facilities. The reduction in surface water use 
between 2000 and 2016 explained 6% of the decline in diarrhoea observed among 
children aged 0-5 months. In children aged 6-59 months, between 7% and 9% of the 
reduction in stunting were attributable to the reduction in open defecation over 
this period. Despite progress, improvements are still needed to increase basic 
WASH coverage in Ethiopia. Our findings showed that improvements in water and 
sanitation only modestly explained reductions in diarrhoea and stunting.",
"80. Zhonghua Er Ke Za Zhi. 2021 Sep 2;59(9):759-766. doi: 
10.3760/cma.j.cn112140-20210218-00137.","[Prevalence and associated factors for malnutrition among children under 6 years 
of age in Hunan province].",[Article in Chinese; Abstract available in Chinese from the publisher],"Li HX(1), Huang GW(1), Wang H(1), Liu N(2), Wu J(2), Peng ZH(3), Huang Q(1), 
Wang AH(1).","Objective: To analyze the prevalence and associated factors of malnutrition 
among children under 6 years of age in Hunan province. Methods: This study was a 
cross-sectional study. A combination of multistage stratified cluster sampling 
and systematic sampling approach was used to recruit 10 442 children aged 0-71 
months from 144 communities (villages) across 48 streets(towns) in 24 
districts(counties) from Hunan province between August and November 2019. Data 
concerning the children and their mothers, caregivers, and family conditions was 
collected using unified questionnaire, with the lengths/heights and weights of 
the children being measured using unified instruments. The length/height for 
age, weight for age, weight for length/height, and body mass index for age Z 
scores were calculated and used to evaluate the prevalence of children's 
stunting, underweight, and wasting. The chi-square test was used to compare the 
prevalence of malnutrition among children with different characteristics. The 
multivariate Logistic regression model was used to conduct multivariate analysis 
for childrens' malnutrition. Results: The prevalence of protein-energy 
malnutrition (PEM) among children under 6 years of age was 6.8% (710/10 442), 
and the prevalence of stunting, underweight, and wasting were 3.1% (328/10 442), 
2.7% (280/10 442), and 3.3% (343/10 442), respectively. Rural areas (OR=1.60), 
older age of children (compared with children of 0-11 months, the OR for 12-23, 
24-35, 36-47, 48-59, and 60-71 months were 1.42, 1.75, 1.55, 1.70, and 1.88, 
respectively), low birth weight (OR=2.72), caregivers of minority ethnicity 
(OR=1.95), and large family size (OR=1.25) were risk factors for children's PEM. 
Rural areas and low birth weight were risk factors for stunting in children 
(OR=2.13 and 3.28). Rural areas, low birth weight, caregivers of minority 
ethnicity, and large family size were risk factors for underweight in children 
(OR=2.57, 3.34, 1.86, and 1.32). Rural areas (OR=1.43), older age of children 
(compared with children of 0-11 months, the OR for 24-35, 36-47, 48-59, and 
60-71 months were 1.63, 1.80, 1.84 and 2.17, respectively), low birth weight 
(OR=2.36), caregivers of minority ethnicity (OR=2.88), and large family size 
(OR=1.42) were risk factors for children's wasting. Higher education level of 
caregivers was a common protective factor for PEM, stunting, and underweight 
(OR=0.85, 0.76, and 0.82). Conclusions: The prevalence of stunting, underweight, 
and wasting among children under 6 years of age in Hunan province were all at a 
low level. Nevertheless, the urban-rural differences still existed, with these 
prevalence being affected by children age, birth weight, ethnicity of 
caregivers, education level, and family size.",
